iter	Passed	Remaining
0	2	226
1	4	220
2	6	205
3	7	190
4	9	183
5	11	177
6	13	175
7	15	174
8	17	173
9	18	170
10	20	168
11	22	167
12	24	164
13	26	164
14	28	163
15	30	160
16	32	157
17	33	154
18	35	153
19	37	150
20	39	149
21	41	146
22	43	144
23	44	142
24	46	140
25	48	138
26	50	136
27	52	133
28	53	131
29	55	129
30	57	127
31	59	125
32	60	123
33	62	120
34	64	119
35	65	117
36	67	115
37	69	113
38	71	111
39	72	109
40	74	107
41	75	104
42	77	102
43	78	100
44	80	98
45	82	96
46	84	94
47	85	93
48	87	91
49	89	89
50	91	87
51	93	86
52	95	84
53	97	82
54	98	80
55	99	78
56	101	76
57	103	74
58	105	73
59	107	71
60	109	69
61	110	67
62	112	66
63	114	64
64	116	62
65	118	60
66	119	59
67	121	57
68	123	55
69	125	53
70	126	51
71	128	50
72	130	48
73	132	46
74	134	44
75	136	43
76	138	41
77	139	39
78	141	37
79	143	35
80	144	33
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	154	23
87	156	21
88	158	19
89	159	17
90	161	15
91	163	14
92	164	12
93	166	10
94	168	8
95	170	7
96	171	5
97	173	3
98	174	1
99	176	0
